project_name_en,ejari_property_sub_type_en,average_prices_per_development
Azizi Greenfield,1bed room+Hall,73040.4
Azizi Greenfield,2 bed rooms+hall,101666.66666666667
Azizi Mina,1bed room+Hall,127499.85185185185
Azizi Mina,2 bed rooms+hall,181359.93023255814
Azizi Mina,Hotel,181428.57142857142
Azizi Park Avenue,1bed room+Hall,71444.44444444444
Azizi Park Avenue,Shop,39417.0
Azizi Plaza Hotel Apartments,1bed room+Hall,53681.065573770495
Azizi Plaza Hotel Apartments,2 bed rooms+hall,71933.11678832117
Azizi Plaza Hotel Apartments,Hotel,59986.5
Azizi Plaza Hotel Apartments,Shop,120328.70588235294
Azizi Plaza Hotel Apartments,Studio,34561.81341719077
Azizi Riviera 10,1bed room+Hall,63147.434782608696
Azizi Riviera 10,2 bed rooms+hall,92625.0
Azizi Riviera 10,3 bed rooms+hall,116250.0
Azizi Riviera 10,Shop,174714.33333333334
Azizi Riviera 10,Studio,41230.833333333336
Azizi Riviera 11,1bed room+Hall,61418.41379310345
Azizi Riviera 11,2 bed rooms+hall,90000.0
Azizi Riviera 11,3 bed rooms+hall,124799.0
Azizi Riviera 11,Shop,68000.0
Azizi Riviera 11,Studio,41706.05714285714
Azizi Riviera 12,1bed room+Hall,63649.72131147541
Azizi Riviera 12,2 bed rooms+hall,88333.33333333333
Azizi Riviera 12,3 bed rooms+hall,121666.66666666667
Azizi Riviera 12,Shop,107333.33333333333
Azizi Riviera 12,Studio,46854.09333333333
Azizi Riviera 13,1bed room+Hall,63886.07142857143
Azizi Riviera 13,2 bed rooms+hall,98600.0
Azizi Riviera 13,3 bed rooms+hall,117500.0
Azizi Riviera 13,Shop,144558.0
Azizi Riviera 13,Studio,43414.142857142855
Azizi Riviera 14,1bed room+Hall,66375.80434782608
Azizi Riviera 14,2 bed rooms+hall,107900.0
Azizi Riviera 14,3 bed rooms+hall,129000.0
Azizi Riviera 14,Shop,188058.11111111112
Azizi Riviera 14,Studio,43839.58163265306
Azizi Riviera 15,1bed room+Hall,72000.0
Azizi Riviera 15,2 bed rooms+hall,113750.0
Azizi Riviera 15,3 bed rooms+hall,127500.0
Azizi Riviera 15,Shop,207601.0
Azizi Riviera 15,Studio,46298.73809523809
Azizi Riviera 16,1bed room+Hall,69423.07692307692
Azizi Riviera 16,2 bed rooms+hall,97000.0
Azizi Riviera 16,3 bed rooms+hall,125000.0
Azizi Riviera 16,Shop,185071.42857142858
Azizi Riviera 16,Studio,42654.64102564102
Azizi Riviera 17,1bed room+Hall,81290.3947368421
Azizi Riviera 17,Shop,25000.0
Azizi Riviera 17,Studio,50521.126760563384
Azizi Riviera 18,1bed room+Hall,70819.9756097561
Azizi Riviera 18,2 bed rooms+hall,99000.0
Azizi Riviera 18,Studio,45259.080808080806
Azizi Riviera 19,1bed room+Hall,73212.29629629629
Azizi Riviera 19,3 bed rooms+hall,123818.18181818182
Azizi Riviera 19,Shop,261640.0
Azizi Riviera 19,Studio,46166.24637681159
Azizi Riviera 2,2 bed rooms+hall,107483.83333333333
Azizi Riviera 2,3 bed rooms+hall,157692.3076923077
Azizi Riviera 2,Shop,85833.33333333333
Azizi Riviera 20,1bed room+Hall,72888.88888888889
Azizi Riviera 20,2 bed rooms+hall,92800.0
Azizi Riviera 20,3 bed rooms+hall,123500.0
Azizi Riviera 20,Studio,44548.68421052631
Azizi Riviera 21,1bed room+Hall,71500.0
Azizi Riviera 21,2 bed rooms+hall,94750.0
Azizi Riviera 21,Studio,43000.0
Azizi Riviera 22,1bed room+Hall,70833.33333333333
Azizi Riviera 22,2 bed rooms+hall,91400.0
Azizi Riviera 22,Studio,43200.0
Azizi Riviera 23,1bed room+Hall,68000.0
Azizi Riviera 23,Studio,46000.0
Azizi Riviera 24,1bed room+Hall,70000.0
Azizi Riviera 24,Studio,40000.0
Azizi Riviera 25,1bed room+Hall,66871.21428571429
Azizi Riviera 25,2 bed rooms+hall,76000.0
Azizi Riviera 25,Studio,41884.21052631579
Azizi Riviera 26,Studio,48000.0
Azizi Riviera 27,1bed room+Hall,73261.29166666667
Azizi Riviera 27,2 bed rooms+hall,102666.66666666667
Azizi Riviera 27,Shop,226958.33333333334
Azizi Riviera 27,Studio,45971.1914893617
Azizi Riviera 28,1bed room+Hall,74034.71428571429
Azizi Riviera 28,2 bed rooms+hall,110000.0
Azizi Riviera 28,Shop,245000.0
Azizi Riviera 28,Studio,47808.92857142857
Azizi Riviera 29,1bed room+Hall,68203.0
Azizi Riviera 29,2 bed rooms+hall,96000.0
